state,city
MO,MANCHESTER
MO,St. Louis County
TN,West Nashville
CA,Santa Maria
LA,kenner
PA,Hollywood
PA,East Norriton 
FL,Hernando Bch
PA,WILLOW GROVE
TN,Chattanooga
NJ,Rancocas
VT,Bennington
PA,Middletown
PA,Philiadelphia
NV,Spark
DE,Bellefonte
FL,Town 'N' Country
PA,Newton
FL,S.Pasadena
AB,Downtown
PA,CHELTENHAM
PA,Claymont
PA,Lower Southampton
DE,Monchanin
FL,Wesley Chapel  FL
MO,Maryland Height
FL,MacDill AFB
PA,PLYMOUTH MTNG
NJ,Monroe
TN,HENDERSONVILLE
NV,Reno Sparks
MO,St.  Charles
PA,Charlotte
FL,Key Largo
NJ,Woodbury Hts.
NJ,"Mount Holly,"
LA,Slidell
PA,Wales
PA,UPPER MORELAND
DE,Aston
FL,Apollo beach
